class,nl,en,orthographic_similarity,meaning_rating,spelling_rating,pronunciation_rating,frequency_per_million_nl,example_sentence_nl
identical-cognate,ring,ring,1,6.46,7,5.85,52.34,Bij een traditionele verloving geeft de man de vrouw een ring.
identical-cognate,sofa,sofa,1,6.71,7,6.57,3.13,Het eerste dat ze kochten voor hun nieuwe huis was een sofa.
identical-cognate,storm,storm,1,6.92,7,6.54,29.61,De boot kwam vast te zitten in een storm.
identical-cognate,taxi,taxi,1,7,7,5.85,50.84,Na het feestje deelden ze een taxi.
identical-cognate,tennis,tennis,1,7,7,6.85,4.64,Wimbledon is één van de belangrijkste toernooien voor wie van tennis houdt.
identical-cognate,tent,tent,1,6.86,7,6.71,40.93,Echte kampeerders slapen niet in een camper maar in een tent.
identical-cognate,test,test,1,6.85,7,6.92,43.15,Daans broer hielp hem zich voor te bereiden voor de wiskunde test.
identical-cognate,ticket,ticket,1,6.64,7,6.86,11.73,Twee dagen voor het concert was haar ticket nog steeds niet aangekomen.
identical-cognate,type,type,1,6.5,7,4.21,38.08,Ze was gewoon zijn type niet.
identical-cognate,villa,villa,1,7,7,6.13,7.59,Haar grootouders wonen in een grote villa.
identical-cognate,water,water,1,7,7,5.38,244.5,In een gemiddeld bad gaat zo'n tachtig liter water.
identical-cognate,west,west,1,7,7,6.31,13.4,"Mijn moeder zegt altijd: ""Oost west, thuis best!"""
identical-cognate,wild,wild,1,6.69,7,5.15,25.41,Er leven nog maar weinig neushoorns in het wild.
identical-cognate,winter,winter,1,7,7,6.23,22.36,Van kinds af aan was zijn favoriete seizoen al winter.
identical-cognate,wolf,wolf,1,7,7,5.36,20.26,De hond is een gedomesticeerde ondersoort van de wolf. 
non-identical-cognate,actie,action,0.67,6.92,5.33,4.67,39.81,De NAVO verzocht zijn leden dringend om actie te nemen.
non-identical-cognate,advies,advice,0.67,6.8,4.87,4.8,33.23,De verdachte negeerde het advies van zijn advocaat.
non-identical-cognate,appel,apple,0.6,6.92,5.92,5.54,10.2,"Van God mochten Adam en Eva alles eten, behalve de appel."
non-identical-cognate,auteur,author,0.67,6.92,4.92,4.23,4.12,Voor de signeersessie zal de auteur een lezing geven.
non-identical-cognate,baard,beard,0.8,7,5.54,4.62,11.64,"De Kerstman heeft een lange, witte baard."
non-identical-cognate,bakker,baker,0.83,6.57,5.64,4.64,4,"Het is een vermoeiend beroep, dat van bakker."
non-identical-cognate,bal,ball,0.75,6.83,6,6.17,80.63,Het jongetje gooide de bal helemaal ernaast.
non-identical-cognate,banaan,banana,0.67,6.93,5.53,4.6,5.33,Je kunt heerlijke koekjes maken van slechts wat havermout en een banaan.
non-identical-cognate,bod,bid,0.67,6.85,4.85,4.15,10.61,Bij een veiling wint de persoon met het hoogste bod.
non-identical-cognate,boek,book,0.75,7,5.8,6.13,150.93,"Ernest Hemingway zei, ""Er is geen vriend zo loyaal als een boek."""
non-identical-cognate,bruid,bride,0.6,7,4.62,4.38,21.13,Op haar bruiloft was ze één en al blozende bruid.
non-identical-cognate,cirkel,circle,0.5,6.86,5.21,5.5,12.44,Met een passer kun je heel precies een cirkel tekenen.
non-identical-cognate,daad,deed,0.5,6.33,4.87,4.07,16.65,De multimiljonair gaf de helft van zijn geld weg als goede daad.
non-identical-cognate,dans,dance,0.6,6.77,5.38,5.69,37.82,De choreograaf had maanden gewerkt aan die dans. 
non-identical-cognate,debat,debate,0.83,6.85,6,5.23,5.74,De Tweede Kamer houdt vanavond een belangrijk debat.
non-identical-cognate,dief,thief,0.6,6.93,5.21,5.29,29.96,Robin Hood is waarschijnlijk de bekendste dief allertijden.
non-identical-cognate,dokter,doctor,0.67,6.83,5.58,6,244.07,Op maandag had ze een afspraak met haar dokter.
non-identical-cognate,domein,domain,0.83,6.58,5.75,5.75,3.11,Hier weet Jan veel van; dit is echt zijn domein.
non-identical-cognate,eind,end,0.75,6.92,5.67,5.25,83.17,Ze was doodop aan het eind van de wandeling.
non-identical-cognate,fataal,fatal,0.83,6.92,5.92,4.92,4.64,De tweede hersenbloeding werd haar helaas fataal.
non-identical-cognate,glas,glass,0.8,6.67,5.87,5.13,57.15,De schoonmaker schrok van de hond en liet het glas vallen.
non-identical-cognate,goud,gold,0.75,7,4.8,3.93,61.99,Ze kreeg van haar man op hun trouwdag een ketting van goud.
non-identical-cognate,grond,ground,0.83,6.93,5.71,4.5,110.25,Hij sprong van het dak af en viel op de grond.
non-identical-cognate,hart,heart,0.8,7,5.92,6.15,196.37,Met een stethoscoop kun je je eigen hart horen kloppen.
non-identical-cognate,honger,hunger,0.83,6.31,6,5,92.45,Het gerecht was zo klein dat het mijn honger niet stilde.
non-identical-cognate,inkt,ink,0.75,6.86,5.86,5.5,5.17,Mijn vulpen is leeg; ik moet dringend nieuwe inkt kopen.
non-identical-cognate,kat,cat,0.67,7,5.85,5.46,52.85,"Haar ouders hebben een dikke, grijze kat."
non-identical-cognate,klimaat,climate,0.57,7,5.15,4.38,4.12,In het gebied tussen de keerkringen heerst een tropisch klimaat.
non-identical-cognate,klok,clock,0.6,6.86,4.93,5.71,23.9,Vorig jaar erfde ze van haar grootvader een antieke klok.
non-identical-cognate,koffie,coffee,0.67,7,4.83,5.83,133.3,De assistente van de minister drinkt haar koffie zwart.
non-identical-cognate,koord,cord,0.6,6.58,5.08,6.08,2.26,Om de parachute te openen moet je aan het koord trekken.
non-identical-cognate,kroon,crown,0.6,7,4.15,4.31,14.32,Een tiara is een soort kroon.
non-identical-cognate,leider,leader,0.83,7,5.33,4.8,45.76,Tijdens de groepsopdracht bleek wel dat ze een goede leider was.
non-identical-cognate,licht,light,0.8,6.85,5.54,3.62,103.64,Een brandende kaars geeft maar weinig licht.
non-identical-cognate,maan,moon,0.5,7,5.42,5,42.1,In 1969 zette NASA de eerste man op de maan.
non-identical-cognate,masker,mask,0.67,7,4.87,4.33,19.23,Tijdens het Venetiaans carnaval heeft iedereen een masker op.
non-identical-cognate,massa,mass,0.8,6.69,5.77,4.15,9.17,De SI-eenheid van massa is de kilogram. 
non-identical-cognate,melk,milk,0.75,7,5.71,5.14,39.7,Bij de lunch drinkt hij altijd een halve liter melk.
non-identical-cognate,metaal,metal,0.83,6.85,5.92,5.23,9.54,Het meubel is leverbaar in plastic en metaal.
non-identical-cognate,mijl,mile,0.5,7,5.33,5.67,15.32,In Groot-Brittanië is de maat voor afstanden niet de kilometer de mijl.
non-identical-cognate,motief,motive,0.67,6.64,4.93,4.86,15.5,Men weet nog steeds niet wat het motief van de moordenaar was.
non-identical-cognate,nek,neck,0.75,6.93,5.87,6.8,57.72,Van alle zoogdieren heeft de giraffe de langste nek.
non-identical-cognate,nobel,noble,0.6,6.67,5.93,6.67,5.9,"Hij wilde meer vrijwilligerswerk doen, een zeer nobel streven."
non-identical-cognate,paniek,panic,0.67,6.64,5.5,4.93,39.86,Bij het zien van de bom raakten alle omstanders in paniek.
non-identical-cognate,parel,pearl,0.6,6.93,4.57,3.64,3.02,Geschat wordt dat in één op de vijftienduizend oesters een parel zit.
non-identical-cognate,peper,pepper,0.83,6.87,5.87,5,3.8,De chef-kok hield helemaal niet van peper.
non-identical-cognate,pijp,pipe,0.5,6.38,5.23,5.46,13.81,De loodgieter moest onder de wastafel een pijp vervangen.
non-identical-cognate,piraat,pirate,0.67,7,5.54,4.69,6.4,Het meisje wilde zich het liefste verkleden als piraat.
non-identical-cognate,prijs,price,0.6,7,5,5.33,86.6,Voor groepen van tien of meer is de prijs per persoon lager.
non-identical-cognate,prins,prince,0.67,7,5.75,6.33,45.26,In de meeste sprookjes wordt de prinses door de prins gered.
non-identical-cognate,publiek,public,0.71,6.14,5.21,4.86,41.87,Het kasteel was de hele dag geopend voor het publiek.
non-identical-cognate,rivier,river,0.83,7,5.79,4.93,52.87,Met bijna zevenduizend kilometer is de Nijl 's werelds langste rivier.
non-identical-cognate,roos,rose,0.5,6.79,5.36,5.5,11.71,Tijdens de scheikundeles doopte de lerares een roos in vloeibaar stikstof.
non-identical-cognate,saus,sauce,0.6,7,5.42,5.25,9.56,Bij de vis werd een heerlijke saus geserveerd.
non-identical-cognate,schip,ship,0.8,6.87,5.73,5.07,115.28,Omstreeks het jaar 1000 reisde Leif Eriksson met een schip naar Noord-Amerika.
non-identical-cognate,schoen,shoe,0.67,7,4.53,3.67,13.45,"Als Sinterklaas aangekomen is, mogen alle kinderen hun schoen zetten."
non-identical-cognate,schouder,shoulder,0.75,7,4.92,4.23,18.57,"Toen de skileraar viel, schoot z'n schouder uit de kom."
non-identical-cognate,slaaf,slave,0.6,7,5,4.69,17.75,Nu nog steeds worden ontelbare mensen als slaaf gebruikt.
non-identical-cognate,sneeuw,snow,0.5,7,4.13,4.07,24.31,De weerman voorspelde dat er vijftien centimeter sneeuw zou vallen.
non-identical-cognate,soep,soup,0.75,7,5.85,6.46,17.84,Mijn grootmoeder maakt van aardappelen de lekkerste soep ooit.
non-identical-cognate,sok,sock,0.75,6.92,5.77,6.08,3.11,De wasmachine had een sok opgeslokt.
non-identical-cognate,straat,street,0.67,7,5.31,4.54,100.34,In de meeste musicals is het volstrekt normaal te zingen op straat.
non-identical-cognate,thee,tea,0.5,7,4,4.2,58.79,Bij binnenkomst vroeg ze aan iedereen of ze een kopje thee wilden.
non-identical-cognate,tijger,tiger,0.83,7,5.92,5.08,11.69,Er zijn veel prachtige documentaires over de tijger.
non-identical-cognate,tong,tongue,0.67,7,5.38,5.77,31.9,Hij beet per ongeluk op z'n tong en schreeuwde.
non-identical-cognate,totaal,total,0.83,6.93,5.93,5.13,48.66,De rekening kwam uit op tweehonderd euro in totaal.
non-identical-cognate,trein,train,0.8,7,5.85,5.15,73.15,"Net toen hij een belangrijke afspraak had, was zijn trein vertraagd."
non-identical-cognate,troon,throne,0.5,6.62,4.85,5.15,12.1,Het Nederlandse Koninkrijk heeft geen officiële troon.
non-identical-cognate,vaas,vase,0.5,7,5.62,5.15,4.57,Op de bijzettafel stond een grote vaas bloemen.
non-identical-cognate,vallei,valley,0.83,6.92,5.62,4.54,10.98,Het dorpje lag in een afgelegen vallei.
non-identical-cognate,vinger,finger,0.83,6.85,6.08,5.08,28.91,Het Latijnse woord dactylus betekent vinger.
non-identical-cognate,wiel,wheel,0.6,6.83,4.42,5.75,7.04,Rond 3500 voor Christus is het wiel uitgevonden.
non-identical-cognate,zeil,sail,0.5,6,4.43,4.29,6.91,Soms moet de bemanning reven: het oppervlakte van het zeil verkleinen.
non-identical-cognate,zilver,silver,0.83,6.92,5.92,5.62,9.95,Haar favoriete paar oorbellen was van brons en zilver.
non-identical-cognate,zomer,summer,0.5,7,4.42,4.5,42.9,We gaan altijd op vakantie in de zomer.
non-identical-cognate,zweet,sweat,0.6,7,4.5,4.75,12.87,Na de marathon was het shirt van de atleet doorweekt met zweet.
false-friend,angel,angel,1,1.03,6.97,3.84,10.63,Alleen vrouwelijke bijen en wespen hebben een angel.
false-friend,bad,bad,1,1.55,7,5.18,42.58,Voor het slapen gaan moest Maria nog even in bad.
false-friend,bang,bang,1,1,7,5.5,477.21,Heel haar leven lang is Heleen al bang voor honden.
false-friend,beer,beer,1,1,7,5.83,25.45,Zijn favoriete knuffel was een schattige zwarte beer.
false-friend,boom,boom,1,1.03,7,4.81,52.25,Het jongetje had zich achter een boom verstopt.
false-friend,boot,boot,1,1,7,4.82,95.93,Het eiland is alleen te bereiken per boot.
false-friend,brand,brand,1,1,7,5.09,44.39,Er woedde een hevige brand in het bos.
false-friend,breed,breed,1,1,7,4.75,6.22,De tafel paste niet door de deur; hij was te breed.
false-friend,brief,brief,1,1.09,7,5.81,73.84,Haar oma stuurt haar nog elke week een brief.
false-friend,den,den,1,1.46,7,6.69,4.76,"Omdat hij het uitzicht blokkeerde, werd de den gekapt."
false-friend,drop,drop,1,1,7,5.83,1.83,Johan is helemaal verzot op zoute drop.
false-friend,fee,fee,1,1.01,6.96,4.69,5.67,In een heleboel kinderverhalen komt een fee voor.
false-friend,file,file,1,1,7,3.83,4.94,Olivier staat elke dag op weg naar zijn werk in de file.
false-friend,gang,gang,1,1,7,4.4,110.8,De leerling verstoorde de les en werd de gang opgestuurd.
false-friend,glad,glad,1,1.03,7,4.43,8,Door de ijzel waren de straten erg glad.
false-friend,gulp,gulp,1,1,7,5.33,1.76,Hij kwam er pas later achter dat zijn gulp open stond.
false-friend,honk,honk,1,2.2,7,6.18,4.39,De slagman haalde de derde honk.
false-friend,hoop,hoop,1,1,7,4.91,367.83,In moeilijke tijden is het belangrijk hoop te hebben.
false-friend,kin,kin,1,1,7,6.85,7.8,Ze kreeg altijd veel complimentjes over het kuiltje in haar kin.
false-friend,kind,kind,1,1,7,5.09,333.3,Grietje was een bijzonder lief kind.
false-friend,lap,lap,1,1.18,7,5.91,3.43,Voor het poetsen van zijn schoenen gebruikt Lucas een oude lap.
false-friend,last,last,1,1.08,7,5.33,53.49,Het voorzitterschap is een zware last voor Frederiek.
false-friend,leek,leek,1,1.64,7,5.09,95.47,Op het gebied van quantum fysica was Irene een volslagen leek.
false-friend,lever,lever,1,2.09,7,5.08,16.35,Eén van de meest veelzijdige organen is de lever.
false-friend,lid,lid,1,1.07,7,5.99,33.18,De voetballer was al twintig jaar lid van de club.
false-friend,list,list,1,1.24,7,6.7,3.77,De gevangene wist te ontsnappen door middel van een slimme list.
false-friend,log,log,1,1.18,7,5,1.03,De olifant is een nogal log beest.
false-friend,map,map,1,1.45,7,5.45,4.53,Het document zit in die map daar.
false-friend,mate,mate,1,1,7,4.09,3.84,"De meeste mensen kennen de slogan ""Geniet, maar drink met mate."""
false-friend,mop,mop,1,1,7,6.36,7.04,De beroemde caberetier vertelde een saaie mop.
false-friend,mug,mug,1,1.09,7,4.81,2.26,Malaria is een ziekte die verspreid wordt door een mug.
false-friend,nut,nut,1,1,7,5.64,13.86,Ze kon er echt het nut niet van inzien.
false-friend,pad,pad,1,1,7,5.18,41.99,Langs de weg liep een smal pad voor voetgangers.
false-friend,pal,pal,1,1,7,5.64,4.16,De zwerver ging pal naast hem zitten.
false-friend,peer,peer,1,1,6.91,5.55,1.99,Pieter at elke morgen bij zijn ontbijt een peer.
false-friend,perk,perk,1,1.17,7,5.42,0.09,Er groeiden prachtige bloemen in dat perk.
false-friend,pet,pet,1,1.01,7,6.61,13.19,Toevallig stond de naam van haar favoriete band op zijn pet.
false-friend,pink,pink,1,1,7,6.82,2.88,Tijdens de training brak Tom zijn pink.
false-friend,pool,pool,1,1,7,4.73,3.54,Het wordt steeds kouder hoe dichterbij de pool je komt.
false-friend,prop,prop,1,1.33,7,5.83,2.38,Sanne maakte van de krant een grote prop.
false-friend,put,put,1,1.09,7,5.18,11.69,De gegijzelde werd in een diepe put gegooid.
false-friend,ramp,ramp,1,1.01,7,5.18,25.89,"Hoewel ze veel gerepeteerd hadden, was het optreden een regelrechte ramp."
false-friend,roof,roof,1,1,7,4.57,2.26,De beveiliging wist nog steeds niet hoe de roof had kunnen gebeuren.
false-friend,room,room,1,1,7,5,7.59,Marc drinkt zijn koffie met een scheutje room.
false-friend,rooster,rooster,1,1.09,7,4.93,8.35,Koekjes moet je altijd even laten afkoelen op een rooster.
false-friend,rug,rug,1,1.07,7,4.79,80.79,Na de val had de turnster veel pijn in haar rug.
false-friend,rust,rust,1,1.01,7,5.49,75.4,Na al die drukte heb ik echt even wat rust nodig.
false-friend,sip,sip,1,1,7,7,1.88,"Toen hij niet had gewonnen, keek Jim behoorlijk sip."
false-friend,slang,slang,1,1,7,5.27,21.59,Een oud woord voor slang is serpent.
false-friend,slap,slap,1,1.09,7,5.27,7.11,Hij vond de koffie uit de kantine veel te slap.
false-friend,slim,slim,1,1.03,7,6.72,111.55,"Het spreekwoord luidt: ""Wie niet sterk is, moet slim zijn."""
false-friend,slip,slip,1,1.17,7,6.83,1.26,Ze moest zich uitkleden tot op haar BH en slip.
false-friend,slot,slot,1,1.36,7,6.06,52.46,In zijn haast was hij vergeten de deur op slot te doen.
false-friend,smart,smart,1,1.17,7,6.08,1.99,Tijden van grote vreugde en diepe smart wisselden elkaar af.
false-friend,spin,spin,1,1,7,6.91,7.8,Op vakantie in Brazilië was hij gebeten door een giftige spin.
false-friend,spit,spit,1,1.5,7,6.58,1.33,Clara's lievelingsgerecht was kip van het spit.
false-friend,spot,spot,1,1.09,7,6.36,7.57,De leerlingen dreven de spot met hun leraar.
false-friend,stadium,stadium,1,2.17,7,5.67,3.7,De ontwikkeling van het nieuwe medicijn bleef steken in een vroeg stadium.
false-friend,stage,stage,1,1.06,7,3.96,2.93,In de vakantie liep ze een aantal weken stage.
false-friend,stand,stand,1,1.73,7,5.45,15.71,Vroeger was het een schande onder je stand te trouwen.
false-friend,star,star,1,1,7,6.19,8.03,Zijn eigenzinnigheid maakte hem veel te star.
false-friend,steel,steel,1,1.09,6.99,4.97,8.62,De oude bezem had een nogal gehavende steel.
false-friend,stem,stem,1,1,7,6.67,86.53,De artiest verloor drie dagen voor zijn optreden zijn stem.
false-friend,strand,strand,1,1.5,7,5.42,40.16,"Als het mooi weer is, gaan veel mensen naar het strand."
false-friend,teen,teen,1,1.55,7,5.18,7.39,Elise stootte per ongeluk haar teen.
false-friend,toe,toe,1,1,7,4.36,580.41,Lars was echt aan een whisky toe.
false-friend,trap,trap,1,1.07,7,5.24,52.28,Met 11.674 treden is het de langste trap ter wereld.
false-friend,vast,vast,1,1.5,7,5.6,662.03,Die dop zat wel heel erg vast.
false-friend,vet,vet,1,1.03,7,6.36,18.52,Men zegt altijd dat plantaardige olie beter is dan dierlijk vet.
false-friend,wand,wand,1,1,6.97,5.48,3.29,Er hing een prachtig schilderij aan de wand.
false-friend,war,war,1,1,7,5.42,3.43,De dementerende patiënt was helemaal in de war.
false-friend,wet,wet,1,1,7,6.12,80.45,In de meeste landen is openbare dronkenschap bij de wet verboden.
translation-equivalent,afval,trash,0,7,1.17,1.25,12.44,Zet die kapotte stoel maar bij het afval.
translation-equivalent,bot,rude,0,6.38,1.08,1.08,14.52,De leraar was erg bot tegen zijn leerlingen.
translation-equivalent,doel,target,0.17,7,1,1,77.45,De maffiabaas was het doel van een aanslag.
translation-equivalent,doos,box,0.25,7,1.27,1.2,38.28,Op Valentijnsdag kreeg ze een doos bonbons.
translation-equivalent,dun,thin,0.25,7,2.75,3.08,9.1,"Snijd de courgette en aubergine in plakjes, zo dun mogelijk."
translation-equivalent,eerlijk,honest,0.14,7,1.08,1.08,172.38,Liegen is per definitie het tegenovergestelde van eerlijk zijn.
translation-equivalent,emmer,bucket,0.17,6.79,1,1,6.72,Voor dat deel van het zandkasteel hebben we een grote emmer nodig.
translation-equivalent,fakkel,torch,0,6.77,1,1,2.2,De kinderen liepen naar het strand met ieder een fakkel.
translation-equivalent,fiets,bike,0.2,6.77,1.15,1.15,21.75,Hij ging elke dag met de fiets naar school.
translation-equivalent,gazon,lawn,0.4,6.92,1.08,1.15,3.09,In de tijd van de Tudors was het gazon een statussymbool.
translation-equivalent,gedicht,poem,0,6.93,1,1,14.73,Bij de herdenking werd een prachtig gedicht voorgedragen.
translation-equivalent,gemak,ease,0.2,6.85,1,1,18.04,De turnster beëindigde haar oefening met gemak.
translation-equivalent,gevaar,danger,0.17,6.93,1,1,91.54,Het comité heeft aangetoond dat de President niet in gevaar was.
translation-equivalent,geweer,rifle,0.17,6.71,1,1,55.39,De jager schoot het hert neer met zijn geweer.
translation-equivalent,grap,joke,0,7,1,1,51.02,Helaas kon de directeur die grap niet waarderen.
translation-equivalent,griep,flu,0,6.92,1,1,7.13,Op de kleuterschool van Carlijn heerste de griep.
translation-equivalent,grot,cave,0,6.83,1.17,1,17.45,De archeologen vonden een skelet diep in de grot.
translation-equivalent,haai,shark,0.4,7,1.08,1,9.44,Het best ontwikkelde zintuig van de haai is zijn reukvermogen.
translation-equivalent,heilig,sacred,0,7,1,1,12.21,Delphi was voor de oude Grieken een heilig oord.
translation-equivalent,heks,witch,0,7,1,1,26.76,Hans en Grietje werden gevangen gehouden door een gemene heks.
translation-equivalent,hout,wood,0.25,6.92,1.75,1.92,23.58,De bouwvakker legde nog wat hout op de stapel.
translation-equivalent,huid,skin,0.25,7,1,1,39.56,"Naarmate ze ouder werd, werd haar huid steeds gevoeliger."
translation-equivalent,huur,rent,0,7,1,1,28.88,Aan het begin van het jaar ging de huur weer omhoog.
translation-equivalent,jammer,pity,0,6.33,1,1,92.2,In de herfst droeg ze al een dikke jas.
translation-equivalent,jas,coat,0.25,6.79,1,1.07,48.11,"Dat het feest niet door ging, vonden we zeer jammer."
translation-equivalent,jeuk,itch,0,6.92,1,1,2.58,Ik word helemaal gek van die vreselijke jeuk!
translation-equivalent,jurk,dress,0,6.85,1,1,55.75,"Voor het gala had ze een lange, groene jurk gekocht."
translation-equivalent,keuze,choice,0.17,6.93,1.93,1.67,66.45,Het was voor haar een zeer moeilijke keuze.
translation-equivalent,kikker,frog,0,7,1,1,8.23,Elke avond hoorden ze een kikker kwaken.
translation-equivalent,kogel,bullet,0.17,6.93,1,1,43.72,Tijdens de strijd werd de soldaat geraakt door een kogel.
translation-equivalent,konijn,rabbit,0,7,1.2,1.2,18.87,Op Eerste Kerstdag eten wij vaak fazant of konijn.
translation-equivalent,kooi,cage,0,6.54,1.46,1.62,13.81,In Leningrad Zoo zitten alle dieren nog in een kooi.
translation-equivalent,koorts,fever,0,7,1.13,1.13,14.77,De arts schreef hem rust in bed voor tegen de koorts.
translation-equivalent,kruid,herb,0,6.87,1.07,1.07,2.15,"Kamille is een welriekend, geneeskrachtig kruid."
translation-equivalent,kunst,art,0.2,6.92,1.25,1.17,37.09,Van kinds af aan was hij een grote liefhebber van kunst.
translation-equivalent,lawaai,noise,0,6.85,1,1,17.08,Al die rotjes op Oudjaarsavond maken een geweldig lawaai.
translation-equivalent,leger,army,0,7,1.07,1.07,107.98,De Zwitserse Garde is het leger van Vaticaanstad.
translation-equivalent,lepel,spoon,0,7,1.08,1,5.01,Anna kocht op de antiekmarkt voor €15 een vergulde lepel. 
translation-equivalent,lied,song,0,7,1.15,1.15,21.27,De zangeres sloot het concert af met haar populairste lied.
translation-equivalent,lijm,glue,0,6.92,1.17,1.17,3.98,"Als je een fotoalbum maakt, moet je daar speciale lijm voor gebruiken."
translation-equivalent,lucht,sky,0,6.87,1,1,89,Het was een prachtige dag met een staalblauwe lucht.
translation-equivalent,macht,power,0,6.8,1.07,1.07,83.99,Van 1976 tot 2008 had Fidel Castro de macht in Cuba.
translation-equivalent,mier,ant,0,7,1,1,2.54,Weinig diersoorten kunnen overal ter wereld leven; de mier wel.
translation-equivalent,moeras,swamp,0,6.92,1,1,9.74,Er is maar één soort krokodil die in het moeras leeft.
translation-equivalent,muur,wall,0,7,1.08,1.08,66.89,In zijn kamer hing aan elke muur wel een poster.
translation-equivalent,oorlog,war,0.17,6.92,1,1,178.96,Het Ministerie van Defensie heette vroeger het Ministerie van Oorlog.
translation-equivalent,Paus,Pope,0.25,7,2.92,2.67,12.62,Met Pasen stuurt elke natie een bos bloemen naar de Paus.
translation-equivalent,plicht,duty,0,6.86,1,1,28.1,De President beschermen was zijn plicht.
